pattern,value
pantalon,Pantalon
argent,Gris
chino,Pantalon
bagag,Bagages
béb,Bébé
boss,Boss
beige clai,Beige
bleu fonc,Bleu
bleu vif,Bleu
bleu marin,Bleu
bleu ro,Bleu
chaussur,Chaussures
chemis,Chemises
choco,Marron
ceintur,Ceintures
Cookies,Marron
cravat,Cravates
Gris chin,Gris
Gris somb,Gris
Hugo,Boss
jaune clai,Jaune
jaune fonc,Jaune
marron fonc,Marron
orange clai,Orange
orange fonc,Orange
Polo,Polos
rose clai,Rose
rose fonc,Rose
rouge sombr,Rouge
T-shirt ,T-shirts
Tee-shirt ,T-shirts
vert sombr,Vert
Vestes,Vestes
Violet fonc,Violet
Violet clai,Violet
